id,tier,type
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
bcfb1137-891e-4d7e-8aa6-42107f0a1c73,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b547d1f1-8551-4e4c-a522-376ea6a62992,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
df2b1ef1-7c4f-4cea-975f-b45b9d6be5f1,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
2db30464-1178-41bb-be3d-375e6833f320,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
334e3fff-5579-4419-aa23-0d3eda5cbf36,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
bf72a4a7-950c-4be3-a752-05f3967024ee,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
fa20f5a7-eba2-497e-9103-7757fe5d07c6,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
a744c74c-f295-4556-9f2e-2870ae1fc764,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
6ceb035f-0cea-4848-98bb-7de3cb32859e,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
9f36711a-cd8b-4805-b198-50e594589da3,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
02e9da65-d437-41d7-929f-356352241fa6,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
2336ea4b-8ab8-4e54-b6bd-6c48b54c89e4,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
8dea1299-9d75-493c-a45d-4d70ee354e7b,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
bf544ba2-699e-42c9-805d-6a21a07b955b,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
9149da6f-bcf4-42a9-a434-485bb8d7e9f1,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
e1f0ddeb-74ff-4481-8935-0646d72249bf,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
1c6b449b-0cd0-4df2-a449-bf453979de1d,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
45f9f40b-306b-4662-a7b8-388272ed836d,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
c60e10ec-9b41-4bfc-b447-c60235b40b98,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
73350136-1390-4cb8-a85a-0a495f6668a3,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
528d4ad8-81c4-4e36-848c-27d378d9023c,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
0b4317ad-5ac9-4338-a82e-95e7cfe84489,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b954eee9-a3a0-4ba4-a3fe-2917600ec10b,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
a0bc1ff8-6861-4bb1-9e63-6e87fb707e75,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
2e575f09-cb90-4958-860e-3617fb091199,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
7dcafa13-2066-4bcd-b128-945d7efb15e2,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
064b45a9-f0f8-426d-b698-1cdc06424e9a,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
8984a8ae-bbdc-4e86-819a-012edc78d28d,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
ba07bc43-1964-4354-a38f-8535cabaf9d1,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
731a43c3-5d28-4e44-8c67-dde7ca64ad68,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
767bec3c-3824-4344-9ce6-c963c8943be9,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
8908d416-8f77-4574-a9ef-73dbc394960a,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
dae3fce4-4c00-4312-b68c-e703772bd7a1,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
951f7801-eacb-4998-9bac-f2790a1c0aac,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
8974e47e-7ee0-453d-96be-42b43f7c66cd,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
74b5ba7b-c621-452d-bf5b-c2a86e19b665,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
d1f785e9-9b86-44d9-9b0e-1d8c660eae3e,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
10698db3-9dbc-4523-ab26-31512888ad87,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
789a29f8-1149-44c9-b75a-519f9bffe9e0,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
4d5c2e2b-0d67-4028-bad5-b8ff2747a03f,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
dc5e2b82-21b0-4863-85b1-cbc9964b8377,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
7a91c1be-62a5-4e48-ad26-33382c607822,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
35acd0f6-6322-424c-8dff-559f41e74abd,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
1d72cab8-ad11-4198-bc57-7fdf21b5f975,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b19f81ab-1c4a-435e-a999-b4274b5a6418,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
2788a735-3109-4971-b5df-83016a1476fe,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
16729ff4-00ad-42dc-95a5-869a2201bcf7,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
31161cd3-2a93-473d-b67d-f72e0860a0c0,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
83e2edba-9542-437a-ae2a-291a335baf5d,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
48a532fd-cdea-4ef0-b52b-650e7ac11800,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
358a7ada-6f82-4f69-b6b4-f9c6f556c0b7,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
c57ae4de-a9ef-4092-993c-4fb9c24dc565,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
322ca954-6b5c-4221-8be4-d932b88829be,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
f393549e-7121-49ed-a81b-a4fa67705a07,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
da2f1c11-8809-45ca-befe-8164a45f78f1,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b15403e8-fbbc-42ff-acfd-06787b8a62fd,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
27b7720b-32e7-4b79-b883-2c06140dec33,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
203a3a14-5ce9-4276-8348-7796c849362b,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
42459286-28c1-468a-b8ef-3a40ed92cf19,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
831439cc-2497-49f9-b679-553bca69124a,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
088d769d-0711-4bd4-a48a-efbd2a8fe019,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
7897f6ab-7218-4cee-ae28-415d643ac1a1,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
d4045eab-927c-405e-86a5-4af9cdfe6bff,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
9d60c7e6-ead4-48ce-946c-b717e306b8e8,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
1b95d07a-c679-4312-9764-2a1b003e1afa,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
99ba1289-794f-4a2c-9b4f-4d34f1c330de,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b844e1c8-d842-4c62-94bb-ae2fe5c0a25e,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
ea596e27-a406-4a52-ae8d-cb188a6b16c5,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
aca0965a-ad4a-40fe-b04d-987d9b0d6bf3,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
e44c0e3a-11bb-4cc3-9c06-4561a4bc7039,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
20e5992f-7486-4fec-b98a-857d69202160,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
8675add1-d879-4583-8e4a-6e82a35f3b19,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
c6f79ced-76d1-4086-ab6f-a9e8e67191f2,L2,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
